,name,date,time_UTC,latitude,longitude,year,month,day,id
22738,baker,19500818,1200, 12.0N,  54.0W,1950,08,18,baker 1950
22739,baker,19500818,1800, 12.5N,  54.2W,1950,08,18,baker 1950
22740,baker,19500819,0, 13.0N,  54.4W,1950,08,19,baker 1950
22741,baker,19500819,600, 13.5N,  54.7W,1950,08,19,baker 1950
22742,baker,19500819,1200, 14.0N,  55.0W,1950,08,19,baker 1950
22743,baker,19500819,1800, 14.5N,  55.4W,1950,08,19,baker 1950
22744,baker,19500820,0, 15.0N,  55.9W,1950,08,20,baker 1950
22745,baker,19500820,600, 15.5N,  56.4W,1950,08,20,baker 1950
22746,baker,19500820,1200, 16.0N,  57.0W,1950,08,20,baker 1950
22747,baker,19500820,1800, 16.3N,  57.9W,1950,08,20,baker 1950
22748,baker,19500821,0, 16.6N,  58.8W,1950,08,21,baker 1950
22749,baker,19500821,600, 16.8N,  59.8W,1950,08,21,baker 1950
22750,baker,19500821,1200, 16.9N,  60.6W,1950,08,21,baker 1950
22751,baker,19500821,1800, 17.0N,  61.0W,1950,08,21,baker 1950
22752,baker,19500822,0, 17.0N,  61.4W,1950,08,22,baker 1950
22753,baker,19500822,600, 16.9N,  61.8W,1950,08,22,baker 1950
22754,baker,19500822,1200, 16.8N,  62.2W,1950,08,22,baker 1950
22755,baker,19500822,1800, 16.8N,  62.9W,1950,08,22,baker 1950
22756,baker,19500823,0, 17.0N,  64.0W,1950,08,23,baker 1950
22757,baker,19500823,600, 17.4N,  65.1W,1950,08,23,baker 1950
22758,baker,19500823,1200, 17.8N,  66.2W,1950,08,23,baker 1950
22759,baker,19500823,1800, 18.2N,  67.3W,1950,08,23,baker 1950
22760,baker,19500824,0, 18.6N,  68.6W,1950,08,24,baker 1950
22761,baker,19500824,600, 19.4N,  70.0W,1950,08,24,baker 1950
22762,baker,19500824,1200, 20.3N,  71.7W,1950,08,24,baker 1950
22763,baker,19500824,1800, 20.9N,  73.4W,1950,08,24,baker 1950
22764,baker,19500825,0, 21.3N,  74.8W,1950,08,25,baker 1950
22765,baker,19500825,600, 21.6N,  76.6W,1950,08,25,baker 1950
22766,baker,19500825,1200, 21.7N,  78.1W,1950,08,25,baker 1950
22767,baker,19500825,1800, 21.7N,  79.1W,1950,08,25,baker 1950
22768,baker,19500826,0, 21.7N,  80.1W,1950,08,26,baker 1950
22769,baker,19500826,600, 21.7N,  81.2W,1950,08,26,baker 1950
22770,baker,19500826,1200, 21.8N,  81.9W,1950,08,26,baker 1950
22771,baker,19500826,1800, 21.9N,  82.5W,1950,08,26,baker 1950
22772,baker,19500827,0, 22.0N,  83.2W,1950,08,27,baker 1950
22773,baker,19500827,600, 22.2N,  84.0W,1950,08,27,baker 1950
22774,baker,19500827,1200, 22.3N,  84.6W,1950,08,27,baker 1950
22775,baker,19500827,1800, 22.4N,  85.3W,1950,08,27,baker 1950
22776,baker,19500828,0, 22.6N,  86.1W,1950,08,28,baker 1950
22777,baker,19500828,600, 22.8N,  86.8W,1950,08,28,baker 1950
22778,baker,19500828,1200, 23.0N,  87.2W,1950,08,28,baker 1950
22779,baker,19500828,1800, 23.2N,  87.5W,1950,08,28,baker 1950
22780,baker,19500829,0, 23.5N,  87.7W,1950,08,29,baker 1950
22781,baker,19500829,600, 23.7N,  88.0W,1950,08,29,baker 1950
22782,baker,19500829,1200, 23.9N,  88.3W,1950,08,29,baker 1950
22783,baker,19500829,1800, 24.1N,  88.4W,1950,08,29,baker 1950
22784,baker,19500830,0, 24.7N,  88.6W,1950,08,30,baker 1950
22785,baker,19500830,600, 25.7N,  88.8W,1950,08,30,baker 1950
22786,baker,19500830,1200, 27.0N,  89.0W,1950,08,30,baker 1950
22787,baker,19500830,1800, 28.2N,  88.7W,1950,08,30,baker 1950
22788,baker,19500831,0, 29.4N,  88.2W,1950,08,31,baker 1950
22789,baker,19500831,300, 30.2N,  88.0W,1950,08,31,baker 1950
22790,baker,19500831,400, 30.7N,  87.9W,1950,08,31,baker 1950
22791,baker,19500831,600, 31.1N,  87.9W,1950,08,31,baker 1950
22792,baker,19500831,1200, 33.4N,  88.2W,1950,08,31,baker 1950
22793,baker,19500831,1800, 34.8N,  88.7W,1950,08,31,baker 1950
22794,baker,19500901,0, 36.0N,  89.0W,1950,09,01,baker 1950
22795,baker,19500901,600, 36.7N,  89.0W,1950,09,01,baker 1950
22796,baker,19500901,1200, 36.7N,  89.2W,1950,09,01,baker 1950
22797,baker,19500901,1800, 37.0N,  89.7W,1950,09,01,baker 1950
23390,dog,19510827,600, 12.3N,  25.6W,1951,08,27,dog 1951
23391,dog,19510827,1200, 12.3N,  26.6W,1951,08,27,dog 1951
23392,dog,19510827,1800, 12.3N,  27.6W,1951,08,27,dog 1951
23393,dog,19510828,0, 12.3N,  28.7W,1951,08,28,dog 1951
23394,dog,19510828,600, 12.3N,  29.8W,1951,08,28,dog 1951
23395,dog,19510828,1200, 12.3N,  31.0W,1951,08,28,dog 1951
23396,dog,19510828,1800, 12.3N,  32.3W,1951,08,28,dog 1951
23397,dog,19510829,0, 12.3N,  33.6W,1951,08,29,dog 1951
23398,dog,19510829,600, 12.3N,  34.9W,1951,08,29,dog 1951
23399,dog,19510829,1200, 12.3N,  36.3W,1951,08,29,dog 1951
23400,dog,19510829,1800, 12.4N,  38.0W,1951,08,29,dog 1951
23401,dog,19510830,0, 12.6N,  39.6W,1951,08,30,dog 1951
23402,dog,19510830,600, 12.8N,  41.2W,1951,08,30,dog 1951
23403,dog,19510830,1200, 13.0N,  42.8W,1951,08,30,dog 1951
23404,dog,19510830,1800, 13.2N,  44.4W,1951,08,30,dog 1951
23405,dog,19510831,0, 13.4N,  46.1W,1951,08,31,dog 1951
23406,dog,19510831,600, 13.6N,  47.7W,1951,08,31,dog 1951
23407,dog,19510831,1200, 13.7N,  49.4W,1951,08,31,dog 1951
23408,dog,19510831,1800, 13.8N,  51.1W,1951,08,31,dog 1951
23409,dog,19510901,0, 13.9N,  52.8W,1951,09,01,dog 1951
23410,dog,19510901,600, 14.0N,  54.4W,1951,09,01,dog 1951
